time,q1,q2,dq1,dq2,tau1,tau2,dt,q1_ref,q2_ref,dq1_ref,dq2_ref,ddq1_ref,ddq2_ref,frequency_hz,frequency_index,cycle_index,valid_for_fit
18.847,0.002061,0.001137,-0.007326,0.007326,-0.041227,-0.157126,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
18.869,0.002061,0.001137,-0.007326,-0.007326,-0.041227,-0.152455,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
18.889,0.002061,0.001137,-0.021978,0.007326,-0.036435,-0.147777,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
18.912,0.002061,0.001041,-0.007326,0.007326,-0.041227,-0.145031,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
18.932,0.002061,0.001137,0.007326,0.021978,-0.036435,-0.1576,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
18.956,0.002157,0.001137,-0.007326,0.007326,-0.047937,-0.157725,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
18.976,0.002061,0.001137,-0.021978,-0.007326,-0.041227,-0.148251,0.002004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
18.996,0.002157,0.001041,0.007326,-0.007326,-0.047937,-0.145486,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
19.016,0.002061,0.001041,-0.007326,-0.036631,-0.036435,-0.145596,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
19.036,0.002061,0.001137,-0.021978,-0.007326,-0.03645,-0.148583,0.002006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
19.063,0.002157,0.001137,-0.007326,-0.007326,-0.047936,-0.148734,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
19.083,0.002157,0.001137,-0.007326,-0.007326,-0.043144,-0.148845,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
19.111,0.002061,0.001041,-0.007326,-0.021978,-0.041227,-0.146124,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.047,0.149422,-0.211131,6.835163,-8.637363,10.0,-0.788878,0.002,0.705016,-0.2941,15.070417,0.0,-27.832926,0.0,1.0,0,0,0
0.07,0.410969,-0.395019,13.369965,-7.304029,10.0,4.690936,0.002,1.035939,-0.2941,14.295912,0.0,-40.897244,0.0,1.0,0,0,0
0.093,0.82237,-0.486868,18.87912,0.915751,10.0,5.539196,0.002,1.359402,-0.2941,13.182757,0.0,-53.66703,0.0,1.0,0,0,0
0.113,1.215459,-0.414865,20.534798,5.516483,7.036017,2.475327,0.002,1.611644,-0.2941,12.00829,0.0,-63.62516,0.0,1.0,0,0,0
0.137,1.716023,-0.266642,21.34066,6.542126,2.121992,-2.07129,0.002,1.875278,-0.2941,10.387862,0.0,-74.033005,0.0,1.0,0,0,0
0.157,2.135957,-0.158303,20.695972,5.575092,-2.519036,-5.176206,0.002,2.067702,-0.2941,8.829179,0.0,-81.629616,0.0,1.0,0,0,0
0.177,2.519171,-0.099723,18.630035,1.692308,-6.995617,-6.125242,0.002007,2.227516,-0.2941,7.131269,0.0,-87.93882,0.0,1.0,0,0,0
0.196,2.820219,-0.117844,14.029305,-2.029305,-10.0,-4.863402,0.002,2.352202,-0.2941,5.320883,0.0,-92.861221,0.0,1.0,0,0,0
0.217,3.016859,-0.196845,8.021976,-4.798534,-10.0,-1.989761,0.002,2.439792,-0.2941,3.426581,0.0,-96.319138,0.0,1.0,0,0,0
0.244,3.095285,-0.343151,0.271063,-4.827839,-10.0,2.300355,0.002,2.497225,-0.2941,0.73995,0.0,-98.586487,0.0,1.0,0,0,0
0.264,3.023762,-0.410359,-4.857143,-3.040293,-10.0,3.951173,0.001999,2.492292,-0.2941,-1.232505,0.0,-98.391769,0.0,1.0,0,0,0
0.292,2.763844,-0.434807,-11.040293,1.194139,-6.14061,3.869344,0.002,2.421458,-0.2941,-3.906412,0.0,-95.595337,0.0,1.0,0,0,0
0.319,2.367879,-0.346027,-15.728938,4.197804,0.635245,0.713388,0.0095,2.324441,-0.2941,-5.78249,0.0,-91.765266,0.0,1.0,0,0,0
0.339,2.058106,-0.261081,-15.157509,3.802197,2.100503,-1.701411,0.002,2.1316,-0.2941,-8.207397,0.0,-84.152191,0.0,1.0,0,0,0
0.367,1.671346,-0.154947,-12.666666,2.820515,4.255255,-4.715639,0.002,1.875276,-0.2941,-10.387877,0.0,-74.032921,0.0,1.0,0,0,0
0.387,1.462913,-0.137115,-9.736263,-0.139194,3.690238,-4.661914,0.002,1.653279,-0.2941,-11.782723,0.0,-65.268837,0.0,1.0,0,0,0
0.414,1.257261,-0.209309,-7.02564,-4.065933,0.302097,-1.804176,0.002,1.306243,-0.2941,-13.393254,0.0,-51.568417,0.0,1.0,0,0,0
0.434,1.127445,-0.299527,-7.304029,-4.666666,-2.633623,1.003573,0.002,1.028785,-0.2941,-14.316292,0.0,-40.614807,0.0,1.0,0,0,0
0.458,0.939434,-0.382555,-8.827839,-2.981686,-5.743588,3.164827,0.002,0.682377,-0.2941,-15.111502,0.0,-26.939158,0.0,1.0,0,0,0
1.13,1.757154,-0.30969,13.399269,1.531136,0.851713,0.100913,0.002,1.806205,-0.2941,10.860323,0.0,-71.306129,0.0,1.0,0,1,0
1.15,2.026659,-0.281886,13.399269,1.047619,-0.597274,-0.61813,0.002,2.008599,-0.2941,9.352308,0.0,-79.29631,0.0,1.0,0,1,0
1.177,2.387726,-0.247179,12.344322,1.252747,-3.57663,-1.749494,0.002,2.234599,-0.2941,7.043251,0.0,-88.218422,0.0,1.0,0,1,0
1.197,2.593187,-0.234332,9.736263,0.212454,-5.078682,-1.900699,0.002,2.357471,-0.2941,5.228005,0.0,-93.069252,0.0,1.0,0,1,0
1.225,2.767775,-0.253315,4.432236,-1.34066,-6.146076,-1.050982,0.002,2.465422,-0.2941,2.60349,0.0,-97.330978,0.0,1.0,0,1,0
1.248,2.790593,-0.294542,-0.534798,-1.897436,-5.661423,0.298411,0.002,2.499556,-0.2941,0.29619,0.0,-98.678505,0.0,1.0,0,1,0
1.268,2.724344,-0.318511,-4.10989,-0.622711,-4.445229,0.760142,0.002,2.485754,-0.2941,-1.674504,0.0,-98.133659,0.0,1.0,0,1,0
1.296,2.533839,-0.342863,-7.948717,-0.285715,-2.232214,1.419466,0.002,2.40292,-0.2941,-4.334838,0.0,-94.863472,0.0,1.0,0,1,0
1.316,2.352443,-0.33318,-9.35531,0.813187,-0.759985,0.913016,0.002,2.297502,-0.2941,-6.192951,0.0,-90.701759,0.0,1.0,0,1,0
1.339,2.12311,-0.303363,-9.706959,1.35531,0.20599,-0.074442,0.002,2.127496,-0.2941,-8.249328,0.0,-83.990173,0.0,1.0,0,1,0
1.361,1.915828,-0.281407,-9.604395,0.446886,-0.8181,-0.513034,0.002,1.926296,-0.2941,-10.012537,0.0,-76.047112,0.0,1.0,0,1,0
1.381,1.729062,-0.260314,-9.399267,0.886446,-0.576326,-1.263288,0.002,1.711381,-0.2941,-11.450538,0.0,-67.562599,0.0,1.0,0,1,0
1.405,1.499729,-0.254466,-9.765568,-0.183149,-1.751185,-1.232353,0.002,1.42465,-0.2941,-12.907889,0.0,-56.242943,0.0,1.0,0,1,0
1.425,1.290721,-0.26693,-10.967033,-0.886446,-2.962086,-0.718081,0.002,1.15594,-0.2941,-13.928001,0.0,-45.63467,0.0,1.0,0,1,0
1.448,0.994274,-0.290036,-13.267399,-0.97436,-3.66511,-0.026757,0.002,0.817245,-0.2941,-14.844963,0.0,-32.263527,0.0,1.0,0,1,0
1.468,0.699554,-0.303458,-15.553114,-0.461538,-3.631154,0.270831,0.002,0.514684,-0.2941,-15.371477,0.0,-20.31892,0.0,1.0,0,1,0
1.489,0.355745,-0.302212,-17.912087,0.183149,-2.759297,0.09067,0.002004,0.204002,-0.2941,-15.655579,0.0,-8.053686,0.0,1.0,0,1,0
1.508,-0.028619,-0.295021,-19.699635,0.402931,-1.090536,-0.163042,0.002,-0.10989,-0.2941,-15.692781,0.0,4.33828,0.0,1.0,0,1,0
1.528,-0.440211,-0.277284,-19.772894,1.106228,0.769121,-0.849202,0.002,-0.422054,-0.2941,-15.482502,0.0,16.662016,0.0,1.0,0,1,0
1.556,-0.959184,-0.24833,-18.835165,0.725275,2.748211,-1.59765,0.002,-0.839425,-0.2941,-14.796022,0.0,33.139168,0.0,1.0,0,1,0
1.576,-1.310279,-0.242002,-16.534798,-0.036631,3.831786,-1.639094,0.002,-1.127948,-0.2941,-14.018311,0.0,44.52961,0.0,1.0,0,1,0
1.603,-1.677769,-0.262711,-12.402931,-1.120878,3.565428,-0.812973,0.002,-1.494737,-0.2941,-12.591106,0.0,59.009842,0.0,1.0,0,1,0
1.631,-1.957341,-0.299432,-8.666666,-1.399267,2.468311,0.315524,0.002,-1.817014,-0.2941,-10.788908,0.0,71.732849,0.0,1.0,0,1,0
1.651,-2.103551,-0.314772,-6.835165,-0.417582,1.444186,0.604602,0.002,-2.017897,-0.2941,-9.272949,0.0,79.663399,0.0,1.0,0,1,0
1.678,-2.264718,-0.331262,-5.648352,-0.139194,0.328647,1.026922,0.002,-2.241589,-0.2941,-6.955009,0.0,88.494377,0.0,1.0,0,1,0
1.698,-2.363469,-0.326948,-4.915751,0.432234,-0.03178,0.786065,0.002,-2.362647,-0.2941,-5.134947,0.0,93.27356,0.0,1.0,0,1,0
1.726,-2.495202,-0.306239,-4.54945,0.886446,0.715618,0.081735,0.002,-2.467975,-0.2941,-2.50619,0.0,97.431755,0.0,1.0,0,1,0
1.749,-2.587242,-0.288694,-3.509157,0.446886,1.964971,-0.319735,0.002,-2.499802,-0.2941,-0.197574,0.0,98.688248,0.0,1.0,0,1,0
1.769,-2.632399,-0.281599,-1.838827,0.534798,3.264197,-0.552552,0.002,-2.484032,-0.2941,1.772559,0.0,98.065643,0.0,1.0,0,1,0
0.0,0.0,1.0,1.0,0.0,94.690552,0.0,,,,,,,,,,,
1.817,-2.539113,-0.290419,4.813187,-0.593407,5.03923,-0.099142,0.002,-2.291268,-0.2941,6.283474,0.0,90.455635,0.0,1.0,0,1,0
3.236,2.573053,-0.300294,1.384615,-0.007326,-1.651301,0.061968,0.002,2.487392,-0.2941,1.575598,0.0,-98.198296,0.0,1.0,0,3,1
3.256,2.580339,-0.299911,-0.007326,0.036631,-1.633136,0.031902,0.002,2.499207,-0.2941,-0.395628,0.0,-98.664742,0.0,1.0,0,3,1
3.283,2.549947,-0.298665,-1.619047,-0.007326,-3.033227,0.004787,0.002007,2.451166,-0.2941,-3.089552,0.0,-96.76815,0.0,1.0,0,3,1
