time,q1,q2,dq1,dq2,tau1,tau2,dt,q1_ref,q2_ref,dq1_ref,dq2_ref,ddq1_ref,ddq2_ref,frequency_hz,frequency_index,cycle_index,valid_for_fit
0.023,0.073968,-0.04908,-0.695971,2.21978,-1.313815,3.894184,0.002,0.002436,0.094446,0.0,0.0,0.0,0.0,0.0,0,0,0
0.043,0.044055,0.030593,-1.575092,4.285713,-0.617192,0.61893,0.002005,0.004728,0.084965,0.0,0.0,0.0,0.0,0.0,0,0,0
0.071,-0.002061,0.134234,-1.736263,2.35165,0.375543,-1.99342,0.002,0.007966,0.075383,0.0,0.0,0.0,0.0,0.0,0,0,0
0.091,-0.031687,0.19847,-1.575092,2.483517,1.003391,-4.22419,0.002,0.010426,0.071175,0.0,0.0,0.0,0.0,0.0,0,0,0
0.113,-0.053642,0.208058,-0.666666,-0.54945,1.401174,-3.920401,0.002,0.01335,0.069385,0.0,0.0,0.0,0.0,0.0,0,0,0
0.136,-0.049615,0.151779,0.534798,-3.069597,1.298106,-1.794302,0.002,0.016649,0.070911,0.0,0.0,0.0,0.0,0.0,0,0,0
0.157,-0.026989,0.079585,1.326008,-3.699635,0.815894,0.615112,0.002,0.019718,0.074912,0.0,0.0,0.0,0.0,0.0,0,0,0
0.18,0.01558,0.02206,1.868132,-2.527473,-0.001445,2.181447,0.002,0.023718,0.082647,0.0,0.0,0.0,0.0,0.0,0,0,0
0.2,0.049903,-0.003827,1.545788,-0.739927,-0.59024,3.026307,0.002,0.027537,0.09162,0.0,0.0,0.0,0.0,0.0,0,0,0
0.22,0.081254,0.012089,1.384615,1.267399,-1.090957,2.521195,0.002,0.031813,0.102548,0.0,0.0,0.0,0.0,0.0,0,0,0
0.24,0.095156,0.063478,0.461538,2.849815,-1.174192,1.092459,0.002,0.036619,0.115149,0.0,0.0,0.0,0.0,0.0,0,0,0
0.26,0.09228,0.131166,-0.373627,3.362637,-0.923834,-0.572544,0.002,0.042027,0.129094,0.0,0.0,0.0,0.0,0.0,0,0,0
0.288,0.068119,0.20173,-1.062271,2.615383,-0.207885,-1.764512,0.002006,0.050567,0.149791,0.0,0.0,0.0,0.0,0.0,0,0,0
0.307,0.045013,0.241614,-1.106228,1.663004,0.385901,-2.410406,0.002,0.057655,0.165427,0.0,0.0,0.0,0.0,0.0,0,0,0
0.335,0.022675,0.249284,-0.652014,-0.285715,1.044446,-1.597507,0.002,0.068688,0.186896,0.0,0.0,0.0,0.0,0.0,0,0,0
0.355,0.020757,0.23404,0.065933,-0.930403,1.156268,-0.643018,0.002,0.077672,0.201946,0.0,0.0,0.0,0.0,0.0,0,0,0
0.383,0.045493,0.215057,1.208792,-0.300365,0.834615,0.300514,0.002,0.091328,0.221067,0.0,0.0,0.0,0.0,0.0,0,0,0
0.405,0.08183,0.215728,1.736263,-0.227106,0.313121,0.674584,0.001997,0.103566,0.23477,0.0,0.0,0.0,0.0,0.0,0,0,0
0.425,0.117783,0.221193,1.838827,0.373627,-0.175435,0.717045,0.002002,0.115159,0.245086,0.0,0.0,0.0,0.0,0.0,0,0,0
0.449,0.155078,0.241039,1.648352,0.97436,-0.611974,0.240721,0.002,0.12951,0.2546,0.0,0.0,0.0,0.0,0.0,0,0,0
0.469,0.178664,0.262707,1.032967,1.076923,-0.756225,-0.224771,0.002,0.142197,0.260237,0.0,0.0,0.0,0.0,0.0,0,0,0
0.496,0.190264,0.280923,0.095238,1.282051,-0.543614,-0.798206,0.002,0.160057,0.264024,0.0,0.0,0.0,0.0,0.0,0,0,0
0.524,0.182115,0.30144,-0.373627,0.652014,0.259117,-1.314731,0.002,0.177977,0.263067,0.0,0.0,0.0,0.0,0.0,0,0,0
0.544,0.177609,0.303741,-0.051283,-0.036631,0.321322,-1.353139,0.002,0.19076,0.259402,0.0,0.0,0.0,0.0,0.0,0,0,0
0.566,0.173582,0.291949,-0.036631,-0.710623,0.670899,-1.12542,0.002,0.204605,0.252406,0.0,0.0,0.0,0.0,0.0,0,0,0
0.586,0.179622,0.27239,0.402931,-1.032967,0.735258,-0.755069,0.002,0.21621,0.243792,0.0,0.0,0.0,0.0,0.0,0,0,0
0.614,0.20129,0.240943,0.915751,-1.150183,0.54226,-0.304271,0.002,0.230721,0.22865,0.0,0.0,0.0,0.0,0.0,0,0,0
0.637,0.229286,0.216111,1.208792,-0.97436,0.095706,0.110562,0.0055,0.239989,0.21557,0.0,0.0,0.0,0.0,0.0,0,0,0
0.657,0.252679,0.200867,1.164835,-0.725275,-0.147251,-0.127043,0.002,0.249273,0.198411,0.0,0.0,0.0,0.0,0.0,0,0,0
0.681,0.274731,0.188403,0.989012,-0.432234,-0.410564,-0.37976,0.002,0.256659,0.179801,0.0,0.0,0.0,0.0,0.0,0,0,0
0.701,0.28777,0.179391,0.520147,-0.432234,-0.550862,-0.593948,0.002,0.26137,0.163221,0.0,0.0,0.0,0.0,0.0,0,0,0
0.721,0.290454,0.168845,-0.007326,-0.564102,-0.494088,-0.740732,0.002,0.264621,0.146311,0.0,0.0,0.0,0.0,0.0,0,0,0
0.741,0.284222,0.154368,-0.388279,-0.798534,-0.306321,-0.7765,0.002,0.266447,0.129396,0.0,0.0,0.0,0.0,0.0,0,0,0
0.761,0.274251,0.135288,-0.520147,-1.003662,-0.084276,-0.671592,0.002,0.266939,0.112789,0.0,0.0,0.0,0.0,0.0,0,0,0
0.788,0.261404,0.102978,-0.417582,-1.252747,0.102246,-0.300311,0.002,0.265706,0.090982,0.0,0.0,0.0,0.0,0.0,0,0,0
0.808,0.256706,0.078914,-0.373627,-1.164835,0.180608,-0.021451,0.002,0.263689,0.076208,0.0,0.0,0.0,0.0,0.0,0,0,0
0.836,0.254021,0.056383,-0.007326,-0.608059,0.097706,-0.004323,0.002,0.259899,0.057815,0.0,0.0,0.0,0.0,0.0,0,0,0
0.856,0.255364,0.046124,0.080585,-0.520147,0.003776,-0.035131,0.002,0.256808,0.046049,0.0,0.0,0.0,0.0,0.0,0,0,0
0.883,0.255364,0.033853,-0.065933,-0.490843,-0.0648,-0.067706,0.002,0.252789,0.032311,0.0,0.0,0.0,0.0,0.0,0,0,0
0.905,0.254693,0.030593,-0.065933,-0.080585,-0.100949,-0.389989,0.001992,0.250334,0.023438,0.0,0.0,0.0,0.0,0.0,0,0,0
0.925,0.25383,0.028963,-0.036631,0.065933,-0.092217,-0.463046,0.002008,0.24914,0.017019,0.0,0.0,0.0,0.0,0.0,0,0,0
0.949,0.252487,0.028004,-0.065933,-0.080585,-0.049152,-0.558235,0.001997,0.249496,0.011414,0.0,0.0,0.0,0.0,0.0,0,0,0
0.969,0.252775,0.02484,-0.007326,-0.212454,-0.011341,-0.518725,0.002,0.251683,0.008203,0.0,0.0,0.0,0.0,0.0,0,0,0
0.992,0.253542,0.019471,0.051283,-0.271063,0.08551,-0.408269,0.002,0.256889,0.006092,0.0,0.0,0.0,0.0,0.0,0,0,0
1.012,0.256802,0.014869,0.124542,-0.227106,0.185906,-0.286757,0.002,0.263842,0.005543,0.0,0.0,0.0,0.0,0.0,0,0,0
1.032,0.258336,0.011801,0.139194,-0.095238,0.333355,-0.202803,0.002,0.273306,0.005961,0.0,0.0,0.0,0.0,0.0,0,0,0
1.052,0.262075,0.011034,0.227106,-0.021978,0.508545,-0.146808,0.002,0.285384,0.007163,0.0,0.0,0.0,0.0,0.0,0,0,0
1.072,0.271375,0.013048,0.534798,0.095238,0.582074,-0.187205,0.002,0.300101,0.008955,0.0,0.0,0.0,0.0,0.0,0,0,0
1.1,0.291317,0.017458,0.915751,0.139194,0.659907,-0.214964,0.002,0.324515,0.01202,0.0,0.0,0.0,0.0,0.0,0,0,0
1.12,0.315382,0.020526,1.179487,0.153847,0.495689,-0.244635,0.002,0.345084,0.014425,0.0,0.0,0.0,0.0,0.0,0,0,0
1.147,0.354691,0.023594,1.56044,0.080585,0.401265,-0.225724,0.002,0.376665,0.017595,0.0,0.0,0.0,0.0,0.0,0,0,0
1.175,0.401574,0.024744,1.706959,0.021978,0.157661,-0.178421,0.001994,0.411146,0.020205,0.0,0.0,0.0,0.0,0.0,0,0,0
1.195,0.435322,0.02484,1.648352,-0.007326,-0.00098,-0.128785,0.002008,0.437297,0.021523,0.0,0.0,0.0,0.0,0.0,0,0,0
1.222,0.475397,0.024744,1.501831,-0.007326,-0.06843,-0.123011,0.002,0.473576,0.022276,0.0,0.0,0.0,0.0,0.0,0,0,0
1.242,0.502051,0.024936,1.223444,-0.007326,-0.048171,-0.148358,0.002,0.499319,0.021907,0.0,0.0,0.0,0.0,0.0,0,0,0
1.27,0.53321,0.02484,1.032967,-0.021978,-0.00254,-0.216916,0.002,0.532411,0.019963,0.0,0.0,0.0,0.0,0.0,0,0,0
1.297,0.556796,0.024361,0.76923,-0.036631,0.480439,-0.447347,0.002,0.561135,0.016203,0.0,0.0,0.0,0.0,0.0,0,0,0
1.317,0.573957,0.023402,0.930403,-0.065933,0.066298,-0.411631,0.002,0.578216,0.012258,0.0,0.0,0.0,0.0,0.0,0,0,0
1.341,0.588051,0.020526,0.593407,-0.168499,0.091121,-0.48051,0.002,0.593149,0.006272,0.0,0.0,0.0,0.0,0.0,0,0,0
1.361,0.597734,0.016307,0.446886,-0.227106,0.043945,-0.573638,0.001999,0.600759,6e-06,0.0,0.0,0.0,0.0,0.0,0,0,0
1.383,0.605213,0.008925,0.227106,-0.358974,-0.063711,-0.597681,0.002,0.602976,-0.008347,0.0,0.0,0.0,0.0,0.0,0,0,0
1.407,0.606938,-0.002005,0.036631,-0.520147,-0.173799,-0.432019,0.0055,0.598789,-0.016936,0.0,0.0,0.0,0.0,0.0,0,0,0
