time,q1,q2,dq1,dq2,tau1,tau2,dt,q1_ref,q2_ref,dq1_ref,dq2_ref,ddq1_ref,ddq2_ref,frequency_hz,frequency_index,cycle_index,valid_for_fit
0.027,-0.020757,0.685016,0.021978,-1.13553,0.410347,-2.434889,0.002,0.0,0.59765,0.0,0.0,0.0,0.0,0.0,0,0,0
0.047,-0.023345,0.657116,-0.124542,-1.472527,0.486124,-1.7465,0.001995,0.0,0.59165,0.0,0.0,0.0,0.0,0.0,0,0,0
0.071,-0.028235,0.619917,-0.241758,-1.56044,0.583888,-0.839057,0.002,0.0,0.5846,0.0,0.0,0.0,0.0,0.0,0,0,0
0.091,-0.030057,0.592208,-0.065933,-1.35531,0.605931,-0.238113,0.002,0.0,0.5786,0.0,0.0,0.0,0.0,0.0,0,0,0
0.11,-0.029386,0.569007,0.095238,-0.930403,0.573339,0.210385,0.002,0.0,0.5726,0.0,0.0,0.0,0.0,0.0,0,0,0
0.131,-0.025167,0.558652,0.271063,-0.300365,0.469803,0.207515,0.002,0.0,0.566601,0.0,0.0,0.0,0.0,0.0,0,0,0
0.151,-0.017497,0.549256,0.402931,-0.388279,0.306803,0.310371,0.002,0.0,0.560601,0.0,0.0,0.0,0.0,0.0,0,0,0
0.178,-0.001678,0.544846,0.578754,0.007326,-0.019183,0.139063,0.002,0.0,0.552351,0.0,0.0,0.0,0.0,0.0,0,0,0
0.198,0.006567,0.546572,0.271063,0.051283,-0.160098,-0.101978,0.002,0.0,0.546351,0.0,0.0,0.0,0.0,0.0,0,0,0
0.226,0.017689,0.547147,0.285715,0.021978,-0.377752,-0.357676,0.002,0.0,0.538101,0.0,0.0,0.0,0.0,0.0,0,0,0
0.253,0.019606,0.554913,-0.036631,0.212454,-0.382531,-0.888465,0.002,0.0,0.529851,0.0,0.0,0.0,0.0,0.0,0,0,0
0.273,0.016634,0.556543,-0.197802,0.021978,-0.313503,-1.081937,0.002,0.0,0.523851,0.0,0.0,0.0,0.0,0.0,0,0,0
0.301,0.008198,0.551749,-0.32967,-0.271063,-0.120822,-1.14253,0.002001,0.0,0.515601,0.0,0.0,0.0,0.0,0.0,0,0,0
0.321,0.001294,0.544942,-0.315018,-0.388279,0.002865,-1.064314,0.002,0.0,0.509601,0.0,0.0,0.0,0.0,0.0,0,0,0
0.348,-0.004362,0.534396,-0.271063,-0.417582,0.11122,-1.009801,0.002,0.0,0.501351,0.0,0.0,0.0,0.0,0.0,0,0,0
0.37,-0.009636,0.52615,-0.227106,-0.344322,0.211888,-0.968755,0.004,0.0,0.494751,0.0,0.0,0.0,0.0,0.0,0,0,0
0.39,-0.011361,0.519535,-0.080585,-0.344322,0.232019,-0.977394,0.002,0.0,0.488751,0.0,0.0,0.0,0.0,0.0,0,0,0
0.413,-0.010594,0.511961,0.065933,-0.315018,0.207095,-0.965194,0.002,0.0,0.481702,0.0,0.0,0.0,0.0,0.0,0,0,0
0.434,-0.008869,0.505633,0.065933,-0.373627,0.162997,-0.948795,0.002,0.0,0.475702,0.0,0.0,0.0,0.0,0.0,0,0,0
0.457,-0.006376,0.498251,0.10989,-0.344322,0.113123,-0.942315,0.002,0.0,0.468652,0.0,0.0,0.0,0.0,0.0,0,0,0
0.477,-0.004458,0.491444,0.080585,-0.358974,0.074787,-0.921073,0.002,0.0,0.462652,0.0,0.0,0.0,0.0,0.0,0,0,0
0.497,-0.003595,0.483965,0.021978,-0.388279,0.067115,-0.869879,0.002,0.0,0.456652,0.0,0.0,0.0,0.0,0.0,0,0,0
0.517,-0.003595,0.476391,-0.007326,-0.388279,0.067115,-0.815722,0.002,0.0,0.450653,0.0,0.0,0.0,0.0,0.0,0,0,0
0.537,-0.003691,0.468338,-0.007326,-0.417582,0.069032,-0.756592,0.002,0.0,0.444653,0.0,0.0,0.0,0.0,0.0,0,0,0
0.565,-0.003691,0.457216,-0.007326,-0.358974,0.073824,-0.683129,0.002,0.0,0.436403,0.0,0.0,0.0,0.0,0.0,0,0,0
0.584,-0.0035,0.450313,0.007326,-0.315018,0.06999,-0.667573,0.002,0.0,0.430403,0.0,0.0,0.0,0.0,0.0,0,0,0
0.612,-0.0035,0.441684,-0.007326,-0.32967,0.06999,-0.649409,0.002,0.0,0.422153,0.0,0.0,0.0,0.0,0.0,0,0,0
0.639,-0.0035,0.433343,-0.007326,-0.32967,0.065198,-0.678038,0.002,0.0,0.413903,0.0,0.0,0.0,0.0,0.0,0,0,0
0.659,-0.003595,0.427783,-0.007326,-0.285715,0.071907,-0.693232,0.002,0.0,0.407903,0.0,0.0,0.0,0.0,0.0,0,0,0
0.683,-0.003595,0.421263,-0.007326,-0.315018,0.071907,-0.692329,0.002,0.0,0.400853,0.0,0.0,0.0,0.0,0.0,0,0,0
0.703,-0.0035,0.41551,-0.007326,-0.300365,0.06999,-0.711391,0.002,0.0,0.394853,0.0,0.0,0.0,0.0,0.0,0,0,0
0.73,-0.0035,0.407265,-0.007326,-0.300365,0.06999,-0.714317,0.001997,0.0,0.386604,0.0,0.0,0.0,0.0,0.0,0,0,0
0.754,-0.0035,0.399403,0.007326,-0.358974,0.068248,-0.676698,0.0055,0.0,0.379554,0.0,0.0,0.0,0.0,0.0,0,0,0
0.774,-0.003595,0.392404,-0.007326,-0.344322,0.076699,-0.654756,0.002,0.0,0.373554,0.0,0.0,0.0,0.0,0.0,0,0,0
0.796,-0.0035,0.384159,0.021978,-0.358974,0.06999,-0.597841,0.002,0.0,0.366954,0.0,0.0,0.0,0.0,0.0,0,0,0
0.816,-0.0035,0.377544,-0.021978,-0.315018,0.06999,-0.590597,0.002,0.0,0.360954,0.0,0.0,0.0,0.0,0.0,0,0,0
0.839,-0.003595,0.370737,-0.021978,-0.271063,0.076699,-0.619062,0.002,0.0,0.353904,0.0,0.0,0.0,0.0,0.0,0,0,0
0.859,-0.0035,0.36556,-0.021978,-0.212454,0.06999,-0.655052,0.002,0.0,0.347905,0.0,0.0,0.0,0.0,0.0,0,0,0
0.883,-0.0035,0.359519,-0.007326,-0.256411,0.065198,-0.668293,0.002,0.0,0.340855,0.0,0.0,0.0,0.0,0.0,0,0,0
0.903,-0.0035,0.354054,-0.007326,-0.285715,0.06999,-0.676603,0.002,0.0,0.334855,0.0,0.0,0.0,0.0,0.0,0,0,0
0.923,-0.0035,0.34811,-0.007326,-0.32967,0.06999,-0.680205,0.002,0.0,0.328855,0.0,0.0,0.0,0.0,0.0,0,0,0
0.943,-0.0035,0.341495,0.007326,-0.358974,0.06999,-0.654066,0.002,0.0,0.322855,0.0,0.0,0.0,0.0,0.0,0,0,0
0.963,-0.003595,0.334304,-0.007326,-0.373627,0.076699,-0.610568,0.002,0.0,0.316855,0.0,0.0,0.0,0.0,0.0,0,0,0
0.99,-0.0035,0.324333,0.007326,-0.344322,0.06999,-0.580413,0.002,0.0,0.308605,0.0,0.0,0.0,0.0,0.0,0,0,0
1.018,-0.0035,0.315033,-0.021978,-0.32967,0.06999,-0.560577,0.002,0.0,0.300355,0.0,0.0,0.0,0.0,0.0,0,0,0
1.038,-0.0035,0.309089,-0.007326,-0.315018,0.06999,-0.563663,0.002,0.0,0.294355,0.0,0.0,0.0,0.0,0.0,0,0,0
1.065,-0.0035,0.301706,-0.007326,-0.256411,0.06999,-0.601332,0.002,0.0,0.286106,0.0,0.0,0.0,0.0,0.0,0,0,0
1.085,-0.003595,0.297104,-0.007326,-0.241758,0.076699,-0.644876,0.002,0.0,0.280106,0.0,0.0,0.0,0.0,0.0,0,0,0
1.113,-0.0035,0.290393,0.007326,-0.256411,0.06999,-0.693543,0.002,0.0,0.271856,0.0,0.0,0.0,0.0,0.0,0,0,0
1.14,-0.0035,0.282148,-0.021978,-0.32967,0.06999,-0.677584,0.0095,0.0,0.263606,0.0,0.0,0.0,0.0,0.0,0,0,0
1.16,-0.003595,0.275245,-0.007326,-0.388279,0.071907,-0.651767,0.002,0.0,0.257606,0.0,0.0,0.0,0.0,0.0,0,0,0
1.184,-0.0035,0.266232,-0.007326,-0.402931,0.065198,-0.585262,0.002,0.0,0.250556,0.0,0.0,0.0,0.0,0.0,0,0,0
1.204,-0.0035,0.258179,0.007326,-0.417582,0.06999,-0.515537,0.002,0.0,0.244557,0.0,0.0,0.0,0.0,0.0,0,0,0
1.231,-0.0035,0.248783,0.007326,-0.315018,0.06999,-0.511686,0.002,0.0,0.236307,0.0,0.0,0.0,0.0,0.0,0,0,0
1.251,-0.003595,0.243319,0.007326,-0.241758,0.076699,-0.548222,0.002,0.0,0.230307,0.0,0.0,0.0,0.0,0.0,0,0,0
1.274,-0.0035,0.238237,-0.007326,-0.227106,0.065198,-0.590185,0.002,0.0,0.223557,0.0,0.0,0.0,0.0,0.0,0,0,0
1.297,-0.0035,0.232964,0.007326,-0.212454,0.065198,-0.64535,0.002,0.0,0.216507,0.0,0.0,0.0,0.0,0.0,0,0,0
1.317,-0.0035,0.227594,-0.021978,-0.315018,0.065198,-0.637148,0.002,0.0,0.210507,0.0,0.0,0.0,0.0,0.0,0,0,0
1.341,-0.0035,0.219733,-0.007326,-0.417582,0.065198,-0.60521,0.002,0.0,0.203457,0.0,0.0,0.0,0.0,0.0,0,0,0
1.361,-0.0035,0.21168,-0.007326,-0.417582,0.065198,-0.564309,0.002,0.0,0.197458,0.0,0.0,0.0,0.0,0.0,0,0,0
1.381,-0.0035,0.202859,-0.007326,-0.461538,0.06999,-0.442612,0.001999,0.0,0.191458,0.0,0.0,0.0,0.0,0.0,0,0,0
1.401,-0.003595,0.194709,-0.007326,-0.388279,0.076699,-0.417513,0.002,0.0,0.185458,0.0,0.0,0.0,0.0,0.0,0,0,0
1.421,-0.0035,0.187615,-0.007326,-0.32967,0.065198,-0.395162,0.002,0.0,0.179458,0.0,0.0,0.0,0.0,0.0,0,0,0
1.448,-0.003595,0.180041,-0.021978,-0.212454,0.071907,-0.435727,0.002,0.0,0.171208,0.0,0.0,0.0,0.0,0.0,0,0,0
1.468,-0.0035,0.175343,-0.007326,-0.183149,0.06999,-0.475736,0.002,0.0,0.165208,0.0,0.0,0.0,0.0,0.0,0,0,0
1.496,-0.0035,0.169398,-0.007326,-0.256411,0.06999,-0.527286,0.002,0.0,0.156958,0.0,0.0,0.0,0.0,0.0,0,0,0
1.523,-0.003595,0.162208,-0.021978,-0.300365,0.072916,-0.557837,0.0095,0.0,0.148708,0.0,0.0,0.0,0.0,0.0,0,0,0
1.543,-0.0035,0.155305,-0.007326,-0.358974,0.065198,-0.525537,0.002,0.0,0.142708,0.0,0.0,0.0,0.0,0.0,0,0,0
1.565,-0.003595,0.146101,-0.021978,-0.490843,0.071907,-0.429488,0.002,0.0,0.136108,0.0,0.0,0.0,0.0,0.0,0,0,0
1.585,-0.003403,0.137856,0.007326,-0.402931,0.063264,-0.372582,0.002,0.0,0.130108,0.0,0.0,0.0,0.0,0.0,0,0,0
1.609,-0.0035,0.129035,-0.021978,-0.358974,0.06999,-0.339424,0.002,0.0,0.123058,0.0,0.0,0.0,0.0,0.0,0,0,0
1.629,-0.0035,0.122516,-0.021978,-0.32967,0.065198,-0.314822,0.002,0.0,0.117058,0.0,0.0,0.0,0.0,0.0,0,0,0
1.656,-0.003595,0.116667,-0.021978,-0.124542,0.076699,-0.4261,0.002,0.0,0.108808,0.0,0.0,0.0,0.0,0.0,0,0,0
1.684,-0.003595,0.112161,-0.021978,-0.153847,0.076699,-0.539751,0.002,0.0,0.100558,0.0,0.0,0.0,0.0,0.0,0,0,0
1.704,-0.003595,0.10823,-0.021978,-0.271063,0.076699,-0.574284,0.002,0.0,0.094558,0.0,0.0,0.0,0.0,0.0,0,0,0
1.726,-0.0035,0.10171,0.007326,-0.315018,0.06999,-0.578232,0.002,0.0,0.087958,0.0,0.0,0.0,0.0,0.0,0,0,0
1.746,-0.003595,0.093657,-0.007326,-0.402931,0.071907,-0.489144,0.002,0.0,0.081959,0.0,0.0,0.0,0.0,0.0,0,0,0
1.773,-0.003595,0.080906,-0.021978,-0.534798,0.076699,-0.336298,0.002,0.0,0.073708,0.0,0.0,0.0,0.0,0.0,0,0,0
1.797,-0.0035,0.070359,-0.007326,-0.432234,0.06999,-0.270365,0.002,0.0,0.066659,0.0,0.0,0.0,0.0,0.0,0,0,0
1.817,-0.003595,0.063456,0.007326,-0.32967,0.076699,-0.253154,0.002,0.0,0.060659,0.0,0.0,0.0,0.0,0.0,0,0,0
1.84,-0.0035,0.057896,0.007326,-0.183149,0.065198,-0.307827,0.002,0.0,0.053609,0.0,0.0,0.0,0.0,0.0,0,0,0
1.86,-0.0035,0.054348,0.007326,-0.168499,0.06999,-0.401061,0.001998,0.0,0.047609,0.0,0.0,0.0,0.0,0.0,0,0,0
1.88,-0.003595,0.050897,-0.007326,-0.197802,0.076714,-0.478282,0.001994,0.0,0.041609,0.0,0.0,0.0,0.0,0.0,0,0,0
1.9,-0.003595,0.046486,-0.007326,-0.241758,0.076699,-0.507883,0.002,0.0,0.035609,0.0,0.0,0.0,0.0,0.0,0,0,0
1.92,-0.0035,0.04035,-0.007326,-0.373627,0.06999,-0.485699,0.002,0.0,0.029609,0.0,0.0,0.0,0.0,0.0,0,0,0
1.948,-0.003595,0.028941,-0.007326,-0.505495,0.076699,-0.363456,0.002,0.0,0.021359,0.0,0.0,0.0,0.0,0.0,0,0,0
1.968,-0.0035,0.019833,-0.007326,-0.461538,0.06999,-0.280434,0.002,0.0,0.015359,0.0,0.0,0.0,0.0,0.0,0,0,0
1.995,-0.0035,0.00852,-0.007326,-0.344322,0.065198,-0.217641,0.002,0.0,0.007109,0.0,0.0,0.0,0.0,0.0,0,0,0
2.015,-0.003595,0.001808,0.007326,-0.315018,0.076699,-0.196386,0.002,0.0,0.001109,0.0,0.0,0.0,0.0,0.0,0,0,0
2.043,-0.0035,-0.003752,0.007326,-0.124542,0.06999,-0.040976,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.065,-0.003595,-0.004327,-0.021978,0.007326,0.076699,-0.04241,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.085,-0.0035,-0.002314,-0.007326,0.168499,0.065179,-0.140984,0.001992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.108,-0.0035,0.001233,-0.021978,0.10989,0.065198,-0.228029,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.128,-0.003595,0.003055,-0.021978,0.080585,0.071907,-0.282865,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.152,-0.0035,0.002863,-0.021978,-0.080585,0.06999,-0.258314,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.172,-0.0035,0.001713,0.007326,-0.080585,0.06999,-0.224017,0.001993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.192,-0.0035,0.000754,-0.007326,-0.036631,0.06999,-0.185796,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.212,-0.0035,0.00037,-0.021978,-0.021978,0.06999,-0.183922,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.232,-0.0035,0.000562,-0.007326,0.036631,0.06999,-0.170561,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.259,-0.0035,0.001041,-0.007326,0.007326,0.065198,-0.213813,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.287,-0.0035,0.000754,-0.007326,-0.007326,0.068981,-0.195719,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.307,-0.003595,0.000754,-0.007326,0.007326,0.076699,-0.195795,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
