time,q1,q2,dq1,dq2,tau1,tau2,dt,q1_ref,q2_ref,dq1_ref,dq2_ref,ddq1_ref,ddq2_ref,frequency_hz,frequency_index,cycle_index,valid_for_fit
0.521,-0.272334,-0.406598,-0.007326,0.065933,0.006714,0.073855,0.002,-0.271758,-0.409,0.0,0.0,0.0,0.0,0.0,0,0,0
0.544,-0.272334,-0.408708,-0.021978,-0.124542,0.011506,0.230066,0.002,-0.271758,-0.407875,0.0,0.0,0.0,0.0,0.0,0,0,0
0.567,-0.272429,-0.41053,-0.007326,-0.065933,0.013423,0.302608,0.002008,-0.271758,-0.4067,0.0,0.0,0.0,0.0,0.0,0,0,0
0.587,-0.272334,-0.410434,-0.007326,0.021978,0.011506,0.3205,0.002,-0.271758,-0.4057,0.0,0.0,0.0,0.0,0.0,0,0,0
0.611,-0.272334,-0.408708,-0.007326,0.065933,0.011506,0.293483,0.002,-0.271758,-0.404525,0.0,0.0,0.0,0.0,0.0,0,0,0
0.631,-0.272334,-0.40679,0.007326,0.080585,0.006714,0.255161,0.002,-0.271758,-0.403525,0.0,0.0,0.0,0.0,0.0,0,0,0
0.651,-0.272334,-0.405831,-0.007326,0.036631,0.006714,0.265484,0.002,-0.271758,-0.402525,0.0,0.0,0.0,0.0,0.0,0,0,0
0.671,-0.272429,-0.405736,-0.007326,-0.021978,0.013423,0.302505,0.002,-0.271758,-0.401525,0.0,0.0,0.0,0.0,0.0,0,0,0
0.691,-0.272429,-0.405927,-0.007326,-0.021978,0.013423,0.338901,0.002,-0.271758,-0.400525,0.0,0.0,0.0,0.0,0.0,0,0,0
0.718,-0.272334,-0.405736,-0.007326,0.021978,0.011506,0.375072,0.002005,-0.271758,-0.39915,0.0,0.0,0.0,0.0,0.0,0,0,0
0.738,-0.272429,-0.404969,-0.007326,0.051283,0.018215,0.372509,0.002,-0.271758,-0.39815,0.0,0.0,0.0,0.0,0.0,0,0,0
0.766,-0.272334,-0.403147,-0.007326,0.051283,0.011506,0.35851,0.002,-0.271758,-0.396775,0.0,0.0,0.0,0.0,0.0,0,0,0
0.786,-0.272334,-0.401325,-0.021978,0.051283,0.011506,0.341921,0.0095,-0.271758,-0.3954,0.0,0.0,0.0,0.0,0.0,0,0,0
0.813,-0.272334,-0.400271,-0.021978,0.036631,0.006714,0.352097,0.002,-0.271758,-0.3944,0.0,0.0,0.0,0.0,0.0,0,0,0
0.836,-0.272334,-0.399312,-0.007326,0.036631,0.011506,0.356953,0.002,-0.271758,-0.393275,0.0,0.0,0.0,0.0,0.0,0,0,0
0.856,-0.272334,-0.398929,-0.007326,0.007326,0.011506,0.366181,0.002,-0.271758,-0.392275,0.0,0.0,0.0,0.0,0.0,0,0,0
0.883,-0.272334,-0.398929,0.007326,-0.007326,0.011506,0.418027,0.002,-0.271758,-0.3909,0.0,0.0,0.0,0.0,0.0,0,0,0
0.903,-0.272334,-0.398641,-0.007326,0.007326,0.006714,0.439997,0.002,-0.271758,-0.3899,0.0,0.0,0.0,0.0,0.0,0,0,0
0.931,-0.272334,-0.397395,0.007326,0.065933,0.006714,0.424888,0.002,-0.271758,-0.388525,0.0,0.0,0.0,0.0,0.0,0,0,0
0.953,-0.272334,-0.395381,-0.021978,0.095238,0.011506,0.378353,0.002,-0.271758,-0.3874,0.0,0.0,0.0,0.0,0.0,0,0,0
0.973,-0.272429,-0.393463,-0.007326,0.080585,0.013423,0.36913,0.002,-0.271758,-0.3864,0.0,0.0,0.0,0.0,0.0,0,0,0
0.997,-0.272429,-0.391163,0.007326,0.065933,0.018215,0.334229,0.002,-0.271758,-0.385225,0.0,0.0,0.0,0.0,0.0,0,0,0
1.017,-0.272334,-0.389916,-0.007326,0.051283,0.011506,0.335942,0.001995,-0.271758,-0.384225,0.0,0.0,0.0,0.0,0.0,0,0,0
1.04,-0.272429,-0.389341,-0.021978,0.007326,0.018215,0.363758,0.002,-0.271758,-0.38305,0.0,0.0,0.0,0.0,0.0,0,0,0
1.06,-0.272334,-0.389053,0.007326,0.007326,0.006714,0.385558,0.002,-0.271758,-0.38205,0.0,0.0,0.0,0.0,0.0,0,0,0
1.08,-0.272429,-0.388862,-0.007326,0.007326,0.018215,0.410393,0.002,-0.271758,-0.38105,0.0,0.0,0.0,0.0,0.0,0,0,0
1.1,-0.272334,-0.388286,-0.007326,0.021978,0.011506,0.413883,0.002,-0.271758,-0.38005,0.0,0.0,0.0,0.0,0.0,0,0,0
1.12,-0.272334,-0.387519,-0.007326,0.051283,0.006731,0.421123,0.002007,-0.271758,-0.37905,0.0,0.0,0.0,0.0,0.0,0,0,0
1.148,-0.272429,-0.386177,-0.007326,0.051283,0.013423,0.412533,0.002,-0.271758,-0.377675,0.0,0.0,0.0,0.0,0.0,0,0,0
1.168,-0.272429,-0.384068,-0.021978,0.065933,0.014432,0.396933,0.0095,-0.271758,-0.3763,0.0,0.0,0.0,0.0,0.0,0,0,0
1.195,-0.272429,-0.382438,-0.021978,0.065933,0.018215,0.379957,0.002,-0.271758,-0.3753,0.0,0.0,0.0,0.0,0.0,0,0,0
1.223,-0.272334,-0.381096,-0.007326,0.021978,0.006714,0.380809,0.002,-0.271758,-0.373925,0.0,0.0,0.0,0.0,0.0,0,0,0
1.243,-0.272334,-0.380521,-0.007326,0.021978,0.011506,0.393814,0.002,-0.271758,-0.372925,0.0,0.0,0.0,0.0,0.0,0,0,0
1.27,-0.272429,-0.380521,-0.007326,-0.007326,0.018215,0.44579,0.002,-0.271758,-0.37155,0.0,0.0,0.0,0.0,0.0,0,0,0
1.29,-0.272334,-0.380329,-0.007326,-0.007326,0.011506,0.470824,0.002,-0.271758,-0.37055,0.0,0.0,0.0,0.0,0.0,0,0,0
1.313,-0.272334,-0.379849,-0.007326,0.021978,0.011506,0.481352,0.002,-0.271758,-0.369425,0.0,0.0,0.0,0.0,0.0,0,0,0
