time,q1,q2,dq1,dq2,tau1,tau2
0.008,-0.031399,-0.134094,0.007326,-0.007326,0.0,2.045646
0.018,-0.031399,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.028,-0.031303,-0.134094,0.007326,-0.007326,0.0,2.045646
0.038,-0.031399,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.048,-0.031399,-0.134094,0.007326,-0.007326,0.0,2.045646
0.058,-0.031495,-0.134094,-0.021978,-0.007326,0.0,2.045646
0.068,-0.031399,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.077,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.087,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.097,-0.031399,-0.134094,0.007326,-0.007326,0.0,2.045646
0.107,-0.031399,-0.134094,-0.021978,-0.007326,0.0,2.045646
0.117,-0.031399,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.127,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.137,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.147,-0.031399,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.157,-0.031495,-0.134094,-0.021978,-0.007326,0.0,2.045646
0.167,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.178,-0.031399,-0.134094,0.007326,-0.007326,0.0,2.045646
0.188,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.198,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.208,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.218,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.228,-0.031399,-0.134094,0.007326,-0.007326,0.0,2.045646
0.238,-0.031495,-0.134094,-0.021978,-0.007326,0.0,2.045646
0.248,-0.031495,-0.134094,0.007326,-0.007326,0.0,2.045646
0.258,-0.031399,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.268,-0.031495,-0.134094,0.007326,-0.007326,0.0,2.045646
0.278,-0.031495,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.288,-0.031495,-0.134094,-0.021978,-0.007326,0.0,2.045646
0.298,-0.031399,-0.134094,-0.007326,-0.007326,0.0,2.045646
0.308,-0.031495,-0.134094,-0.021978,-0.007326,0.0,2.045646
0.318,-0.031399,-0.134094,-0.007326,-0.007326,0.0,2.045646
