time,q1,q2,dq1,dq2,tau1,tau2,dt,q1_ref,q2_ref,dq1_ref,dq2_ref,ddq1_ref,ddq2_ref,frequency_hz,frequency_index,cycle_index,valid_for_fit
0.019,0.163228,-0.488189,-1.062271,1.619047,-2.827035,1.597811,0.002,0.011309,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.043,0.092472,-0.435553,-3.406593,2.43956,-0.881899,0.22006,0.002,0.026063,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.071,-0.003979,-0.388095,-3.362637,1.076923,1.180596,-0.840774,0.009503,0.038603,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.091,-0.059778,-0.359044,-2.380953,1.120878,2.627268,-1.681739,0.002004,0.055804,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.114,-0.077228,-0.357894,-0.036631,-0.402931,2.977428,-1.457708,0.002,0.070451,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.134,-0.042041,-0.381575,2.190475,-1.413919,2.310882,-0.536364,0.002,0.082868,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.156,0.034563,-0.416761,3.89011,-1.589743,0.898414,0.480895,0.002,0.096775,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.177,0.119221,-0.441018,4.300365,-1.882784,-0.510892,1.266603,0.001997,0.109077,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.2,0.206275,-0.462686,3.186813,-0.652014,-1.864403,1.647683,0.002,0.123432,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.224,0.257185,-0.454728,1.487179,0.681318,-2.430468,1.159675,0.002,0.137684,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.244,0.256994,-0.430759,-0.432234,1.282051,-2.008793,0.354331,0.002,0.14972,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.264,0.226889,-0.405736,-1.824175,1.194139,-1.043733,-0.338863,0.002,0.161662,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.284,0.181444,-0.3996,-2.380953,0.197802,0.149384,-0.532536,0.002,0.173501,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.304,0.141464,-0.388958,-1.882784,0.358974,1.135059,-0.660029,0.002,0.18523,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.331,0.113276,-0.396724,-0.358974,-0.490843,2.070057,-0.321597,0.002,0.201166,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.351,0.12296,-0.411584,0.842491,-0.739927,1.720369,0.181753,0.002,0.212605,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.379,0.176842,-0.425774,2.322346,-1.047619,0.841721,0.693742,0.002,0.228114,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.399,0.231587,-0.437087,2.805862,-0.476191,-0.045999,0.898839,0.002001,0.239223,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.426,0.300713,-0.436224,2.380951,0.271063,-1.100397,0.700437,0.002,0.25425,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.454,0.338104,-0.4205,0.798534,0.666666,-1.531813,0.179769,0.0095,0.264989,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.474,0.335132,-0.409763,-0.315018,0.534798,-1.008154,-0.112576,0.002,0.279481,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.501,0.310876,-0.408899,-1.062271,-0.153847,-0.25008,-0.01378,0.001993,0.293642,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.521,0.2894,-0.409187,-0.97436,-0.036631,0.422568,-0.024387,0.002,0.303716,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.545,0.275018,-0.410721,-0.490843,-0.153847,0.893012,0.069584,0.002,0.315311,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.565,0.275977,-0.416474,0.212454,-0.446886,0.989137,0.327967,0.002007,0.324963,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.592,0.299371,-0.427308,1.076923,-0.32967,0.697076,0.586341,0.002,0.337898,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.615,0.328613,-0.428075,1.413919,0.036631,0.292723,0.523069,0.002,0.348182,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.635,0.356608,-0.423856,1.384615,0.241758,-0.08056,0.358148,0.002,0.35709,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.658,0.382015,-0.418103,1.062271,0.197802,-0.367311,0.195159,0.002,0.367268,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.678,0.396492,-0.414652,0.608059,0.124542,-0.422687,0.11081,0.002,0.375678,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.702,0.400519,-0.41331,0.007326,-0.007326,-0.260322,0.099295,0.002,0.385257,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.722,0.39678,-0.414748,-0.227106,-0.124542,-0.009865,0.171192,0.002,0.393144,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.742,0.394766,-0.417624,-0.065933,-0.168499,0.157977,0.24792,0.002,0.400784,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.762,0.396396,-0.420404,0.021978,-0.10989,0.271825,0.331302,0.002,0.40817,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.782,0.399464,-0.42098,0.168499,-0.007326,0.332559,0.319808,0.002,0.415298,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.809,0.406176,-0.419062,0.241758,0.080585,0.37436,0.252702,0.002,0.42467,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.837,0.4149,-0.417816,0.32967,0.007326,0.295745,0.23246,0.0095,0.431169,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.857,0.422666,-0.418103,0.402931,-0.036631,0.331485,0.252688,0.002,0.439658,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.884,0.434938,-0.418966,0.446886,-0.051283,0.233825,0.268989,0.002,0.447623,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.904,0.443087,-0.419158,0.402931,-0.007326,0.192956,0.284332,0.002,0.45308,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.927,0.450278,-0.41887,0.300365,0.007326,0.173037,0.256529,0.002,0.458877,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.947,0.454592,-0.418775,0.183149,-0.007326,0.187002,0.272823,0.002,0.463723,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.97,0.45766,-0.418775,0.080585,-0.007326,0.244666,0.263239,0.002,0.469041,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
0.998,0.459482,-0.41887,0.065933,-0.007326,0.320258,0.266114,0.002,0.474746,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
1.018,0.461112,-0.41887,0.095238,-0.007326,0.357216,0.266114,0.002,0.478539,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
1.045,0.464851,-0.41887,0.153847,-0.007326,0.369979,0.266114,0.002,0.48326,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
1.065,0.468878,-0.41887,0.227106,0.007326,0.339761,0.266114,0.002,0.486331,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
1.088,0.474535,-0.41887,0.256411,-0.007326,0.277075,0.266114,0.002,0.489419,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
1.115,0.480383,-0.41887,0.183149,-0.021978,0.279097,0.266114,0.002,0.492662,-0.41,0.0,0.0,0.0,0.0,0.2,0,0,0
